"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
0,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_b_strategy/242eef3c4e4c",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9",12.766936779022217,"00:00:12",0.5770932244789232,9.400845486852328,0.977746,0.994418,73.415584,95.700976
1,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_b_strategy/480b12a4c978",143151.525390625,9541.84375,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -b_strategy 0",14.081773042678833,"00:00:14",0.44178755461688446,8.52307444781599,0.98224,0.994259,74.702748,95.864787
2,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_b_strategy/12d9fe107946",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -b_strategy 1",12.757204294204712,"00:00:12",0.5770932244789232,9.40801740194144,0.977746,0.994418,73.415584,95.700976
