index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,88175.17154947917,5878.693522135417,-global_quality 24,12.652665774027506,0.6522094456186865,9.485727932577262,0.9918326666666667,0.9969365,83.58812583333334,94.6788945
1,av1_qsv,ICQ,veryslow,4,256,0,1,15,3582,0,3597,88194.62760416667,5879.988932291667,-global_quality 24 -g 256 -bf 15 -refs 8,12.4781364997228,0.6520018125397455,9.617082372883326,0.9910908333333333,0.9967995,82.92551766666668,94.540969
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,88403.83870442708,5893.939615885417,-global_quality 24 -g 248 -bf 15 -refs 8,12.48165754477183,0.6511629128768612,9.614493218377408,0.9911783333333332,0.9968071666666667,82.90403483333334,94.54716983333333
