index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,ICQ,veryslow,4,256,0,1,15,3582,0,3597,Anime,70061.7939453125,4670.653971354167,-global_quality 24 -g 256 -bf 15 -refs 8,12.510890324910482,0.7266828886297559,9.591588577966382,0.9917526666666667,0.9970593333333334,82.71964866666667,95.94264733333334
1,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,69741.61555989583,4649.3095703125,-global_quality 24 -g 248 -bf 15 -refs 8,12.515504121780396,0.727921561936939,9.588023129416984,0.991975,0.997057,83.08849900000001,95.93283466666666
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,69171.7177734375,4611.312174479167,-global_quality 24,12.587668339411417,0.7301056820575917,9.533391259492975,0.9920306666666666,0.9971556666666667,82.76084033333332,95.984693
3,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107178.62532552083,7146.074869791667,-global_quality 24,12.717663208643595,0.5743132091797815,9.43806460566155,0.9916346666666667,0.9967173333333332,84.41541133333334,93.37309599999999
4,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107066.06184895833,7138.569661458333,-global_quality 24 -g 248 -bf 15 -refs 8,12.447810967763266,0.5744042638167834,9.640963307337833,0.9903816666666666,0.9965573333333334,82.71957066666668,93.16150499999999
5,av1_qsv,ICQ,veryslow,4,256,0,1,15,3581,0,3596,Nature,106327.46126302083,7089.323893229167,-global_quality 24 -g 256 -bf 15 -refs 8,12.445382674535116,0.5773207364497351,9.642576167800266,0.9904290000000001,0.9965396666666667,83.13138666666667,93.13929066666667
