index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,69171.7177734375,4611.312174479167,-global_quality 24,12.585943857828775,0.7301056820575917,9.534719623837102,0.9920306666666666,0.9971556666666667,82.76084033333332,95.984693
1,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,69171.7177734375,4611.312174479167,-global_quality 24 -b_strategy 1,12.592000166575113,0.7301056820575917,9.53005035593805,0.9920306666666666,0.9971556666666667,82.76084033333332,95.984693
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107178.62532552083,7146.074869791667,-global_quality 24 -adaptive_i 1,12.715540170669556,0.5743132091797815,9.439699086556871,0.9916346666666667,0.9967173333333332,84.41541133333334,93.37309599999999
3,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,69171.7177734375,4611.312174479167,-global_quality 24 -adaptive_i 1,12.593417485555014,0.7301056820575917,9.528965068839183,0.9920306666666666,0.9971556666666667,82.76084033333332,95.984693
4,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107178.62532552083,7146.074869791667,-global_quality 24,12.711806058883667,0.5743132091797815,9.442532012704417,0.9916346666666667,0.9967173333333332,84.41541133333334,93.37309599999999
5,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107178.62532552083,7146.074869791667,-global_quality 24 -b_strategy 1,12.723492940266928,0.5743132091797815,9.433886955694533,0.9916346666666667,0.9967173333333332,84.41541133333334,93.37309599999999
6,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,Anime,69171.7177734375,4611.312174479167,-global_quality 24 -b_strategy 1 -adaptive_b 1,12.586906830469767,0.7301056820575917,9.533880526239544,0.9920306666666666,0.9971556666666667,82.76084033333332,95.984693
7,av1_qsv,ICQ,veryslow,4,248,0,1,15,3581,0,3596,Nature,107178.62532552083,7146.074869791667,-global_quality 24 -b_strategy 1 -adaptive_b 1,12.713370005289713,0.5743132091797815,9.441406605704477,0.9916346666666667,0.9967173333333332,84.41541133333334,93.37309599999999
