index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,225,3357,3597,84360.55875651042,5624.346354166667,-global_quality 25 -look_ahead 1 -bf 15 -refs 8,12.452770352363586,0.6671535631436268,9.650128926723111,0.9851985000000001,0.9954583333333332,79.91584166666667,93.48104599999999
1,hevc_qsv,CQP,veryslow,4,248,4,1,15,0,3582,3597,329316.72770182294,21955.753580729168,-q:v 20 -bf 15 -refs 8 -vf vpp_qsv=format=p010le,12.548693855603537,-0.3251112331733385,9.562519075494711,0.9987746666666667,0.9995581666666667,94.33420633333334,98.54480933333333
2,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,89912.16634114583,5994.501627604167,-global_quality 24 -vf vpp_qsv=format=p010le,12.71199623743693,0.6451717314537437,9.442535792685247,0.9922181666666666,0.9972183333333334,84.37603316666666,95.05728583333335
3,libx264,CRF,medium,4,250,2,4,40,2732,1512,3597,94385.90836588542,6292.776204427083,-crf 23,40.20914916197459,0.6174019190055228,2.9955735428153942,0.9922893333333334,0.9977119999999999,85.4693505,94.83085616666666
4,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,45813.64306640625,3054.4329427083335,-crf 35,85.29693142573039,0.8197179223981349,1.449768876840844,0.9854676666666666,0.9957365,80.3390165,93.24326816666667
5,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25 -look_ahead 1,11.750077565511068,0.6234265383196651,10.22293701161493,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
6,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,79121.90559895833,5275.105794270833,-global_quality 21,13.28552516301473,0.687372021733843,9.032246872336515,0.9894411666666668,0.9968506666666666,83.08659883333334,94.45883583333334
7,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,80531.81754557292,5369.124186197917,-global_quality 21 -bf 15,13.301945924758911,0.6829074238873765,9.021355929655593,0.9882733333333333,0.9966284999999999,82.80571149999999,94.16187166666667
8,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,64850.45458984375,4323.60791015625,-crf 31,86.16969060897827,0.7450568040037236,1.4394112007992221,0.9890776666666667,0.9966813333333334,83.32594366666666,94.63906283333334
9,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2683,3597,95350.27864583333,6357.022623697917,-global_quality 25,11.750638047854105,0.6234265383196651,10.22261602319339,0.9889576666666665,0.9964218333333333,83.42734200000001,94.64672783333333
10,hevc_qsv,CQP,veryslow,4,248,3,1,15,0,3582,3597,88004.23014322917,5867.26611328125,-q:v 20,12.454076568285624,0.6522946068703259,9.63534216790137,0.9902470000000001,0.9970175,83.94970766666667,95.04310583333334
11,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,42769.257649739586,2851.41845703125,-crf 28,132.83962480227152,0.8316098401584564,0.9237464010058424,0.9806018333333334,0.9935218333333333,73.27810566666666,89.80306283333334
12,h264_qsv,CQP,veryslow,4,256,4,8,15,225,3357,3597,63771.515950520836,4251.682779947917,-q:v 22 -bf 15 -refs 8,12.191528876622518,0.7475341568806838,9.857095408666531,0.9830241666666667,0.9947373333333335,78.63469666666667,92.40795233333334
13,av1_qsv,ICQ,veryslow,4,248,0,1,15,3582,0,3597,88175.17154947917,5878.693522135417,-global_quality 24,12.652066508928934,0.6522094456186865,9.486251985153526,0.9918326666666667,0.9969365,83.58812583333334,94.6788945
14,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,78718.32291666667,5248.219563802083,-global_quality 21 -bf 15 -refs 8 -vf vpp_qsv=format=p010le,13.338791251182556,0.6902232730497513,8.996332632175404,0.9885463333333334,0.9967903333333332,82.74982316666667,94.28753483333332
15,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,88267.994140625,5884.813151041667,-crf 23,160.3776146968206,0.6505179358485269,0.7762641148567538,0.9901466666666668,0.9968615,83.20581,94.55522733333333
16,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,91597.02962239583,6106.820638020833,-q:v 53,11.9667995373408,0.6380284610501198,10.027187397444267,0.9914883333333333,0.9971043333333333,83.82132266666666,94.89131016666666
17,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,103665.27587890625,6911.403645833333,-q:v 22,11.565257628758749,0.588513033104817,10.386381902421597,0.9889491666666665,0.9969606666666667,84.18285166666668,95.23703866666665
18,h264_qsv,ICQ,veryslow,4,256,4,8,15,225,3357,3597,84360.55875651042,5624.346354166667,-global_quality 25 -bf 15 -refs 8,12.450684666633606,0.6671535631436268,9.651803847175673,0.9851985000000001,0.9954583333333332,79.91584166666667,93.48104599999999
19,hevc_qsv,CQP,veryslow,4,248,4,1,15,0,3582,3597,72167.95491536458,4811.457356770833,-q:v 20 -bf 15 -refs 8,12.402654806772867,0.7155379010801077,9.675129434354563,0.988284,0.9964056666666666,82.4680255,94.19119733333332
20,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,96017.93636067708,6401.56640625,-q:v 53 -vf vpp_qsv=format=p010le,12.008968949317932,0.6201841471981425,9.991963475387534,0.9918741666666667,0.9973921666666666,84.35470083333333,95.315496
