index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
24,h264_qsv,ICQ,veryslow,4,256,2,3,15,899,2682,3596,Nature,110673.65169270833,7379.103841145833,-global_quality 25,11.394226710001627,0.5581462468197526,10.53376499357083,0.9903423333333333,0.9964113333333332,84.81715566666666,93.58202566666667
25,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3581,3596,Nature,98495.208984375,6567.112955729167,-global_quality 21,13.226539373397827,0.6065021398336552,9.072093841676583,0.989242,0.9966116666666668,83.23837133333335,93.07874366666665
26,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,Anime,76537.9423828125,5102.372721354167,-q:v 53 -vf vpp_qsv=format=p010le,12.022805531819662,0.7017204256584949,9.980896239520911,0.9916466666666667,0.997632,82.869533,96.58521033333334
27,h264_qsv,CQP,veryslow,4,256,4,8,15,225,3356,3596,Nature,75220.85286458333,5015.307942708333,-q:v 22 -bf 15 -refs 8,11.735039154688517,0.6993464108377448,10.226452169984144,0.9841679999999999,0.9944496666666667,79.99474933333333,90.743679
28,hevc_qsv,CQP,veryslow,4,248,4,1,15,0,3581,3596,Nature,360628.7330729167,24044.720052083332,-q:v 20 -bf 15 -refs 8 -vf vpp_qsv=format=p010le,12.476301829020182,-0.48426602426475857,9.617335852800272,0.9988266666666666,0.9995850000000001,94.92199133333332,98.14352433333333
29,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3581,3596,Nature,102109.16341145833,6808.0712890625,-global_quality 21 -bf 15,13.261829217274984,0.5948924580083045,9.048484120216658,0.9887893333333334,0.9963540000000001,84.172022,92.75575300000001
30,av1_qsv,CQP,veryslow,4,248,0,1,15,3581,0,3596,Nature,115497.93033854167,7700.760091145833,-q:v 53 -vf vpp_qsv=format=p010le,11.995132366816202,0.53864786873779,10.003030711254153,0.9921016666666667,0.9971523333333333,85.83986866666665,94.04578166666666
31,hevc_qsv,CQP,veryslow,4,248,3,1,15,0,3582,3597,Anime,70675.9931640625,4711.548828125,-q:v 20,12.520751714706421,0.7253421334463869,9.58400711199886,0.9901463333333335,0.9973583333333332,83.71401999999999,96.34553333333334
32,hevc_qsv,ICQ,veryslow,4,248,4,1,15,0,3582,3597,Anime,58954.4716796875,3930.1770833333335,-global_quality 21 -bf 15,13.342062632242838,0.7709223897664486,8.994227739094528,0.9877573333333333,0.996903,81.43940099999999,95.56799033333334
33,av1_qsv,CQP,veryslow,4,248,0,1,15,3582,0,3597,Anime,72689.92805989583,4845.840169270833,-q:v 53,11.987657229105631,0.7167557848666899,10.010127724644851,0.9911973333333334,0.9973563333333333,82.41165466666666,96.20644333333333
34,h264_qsv,CQP,veryslow,4,256,2,3,15,899,2683,3597,Anime,87153.84537760417,5810.092447916667,-q:v 22,11.907674074172974,0.66005765827953,10.07734916553669,0.9884106666666667,0.997006,83.04003733333333,96.25729666666666
35,h264_qsv,LA_ICQ,veryslow,4,256,2,3,15,899,2683,3597,Anime,80026.90559895833,5334.94140625,-global_quality 25 -look_ahead 1,12.102887868881226,0.6887068298195776,9.91489652164122,0.9875729999999999,0.9964323333333333,82.03752833333334,95.71143
36,libx265,CRF,medium,4,250,2,1,18,2011,2084,3596,Nature,104671.72298177083,6978.9287109375,-crf 23,171.37051526705423,0.5797547032204206,0.7432630863592622,0.9899840000000001,0.996626,83.363333,93.26053033333334
37,libx265,CRF,medium,4,250,2,1,25,2061,2378,3597,Anime,34688.580403645836,2312.4462890625,-crf 28,126.64580829938252,0.8656182585157525,0.9512773218446017,0.9812943333333334,0.9942670000000001,73.76616399999999,91.94105466666667
38,h264_qsv,ICQ,veryslow,4,256,4,8,15,225,3357,3597,Anime,70052.75944010417,4670.035481770833,-global_quality 25 -bf 15 -refs 8,12.913231293360392,0.7273771148154854,9.29293418561784,0.9830626666666666,0.9955256666666666,79.41097033333332,94.77270133333333
39,h264_qsv,LA_ICQ,veryslow,4,256,4,8,15,225,3357,3597,Anime,70052.75944010417,4670.035481770833,-global_quality 25 -look_ahead 1 -bf 15 -refs 8,12.914903481801352,0.7273771148154854,9.29173260260296,0.9830626666666666,0.9955256666666666,79.41097033333332,94.77270133333333
40,hevc_qsv,CQP,veryslow,4,248,3,1,15,0,3581,3596,Nature,105332.46712239583,7022.9833984375,-q:v 20,12.387401421864828,0.5792470802942649,9.686677223803882,0.9903476666666666,0.9966766666666667,84.18539533333335,93.74067833333334
41,hevc_qsv,ICQ,veryslow,4,248,3,1,15,0,3582,3597,Anime,59748.602213541664,3983.0986328125,-global_quality 21,13.344510952631632,0.7682419036340308,8.992399902996448,0.9896403333333333,0.9970896666666667,82.93482633333333,95.83892800000001
