index,codec,type,preset,threads,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,hevc_qsv,CQP,veryslow,4,Nature,21614.854817708332,1441.1578776041667,-q:v 30,12.374904235204061,0.9136514696482817,9.696137777182177,0.9503706666666666,0.9842939999999999,54.816356000000006,78.09326800000001
1,hevc_qsv,CQP,veryslow,4,Anime,11107.859049479166,740.5166015625,-q:v 31,12.442830244700113,0.9564707319453699,9.644068526435788,0.9486720000000001,0.9866843333333334,55.813813,82.68275666666666
2,hevc_qsv,CQP,veryslow,4,Nature,34672.999348958336,2311.8024088541665,-q:v 27,12.367321888605753,0.8617653212177102,9.702111920112054,0.9669563333333334,0.9895106666666665,64.82887133333334,83.91479
3,hevc_qsv,CQP,veryslow,4,Nature,29635.189778645832,1975.9095052083333,-q:v 28,12.382843732833862,0.8818169319408118,9.68988177439896,0.962179,0.9880296666666667,61.77662333333333,82.20542566666667
4,hevc_qsv,CQP,veryslow,4,Anime,4947.705403645833,329.8492838541667,-q:v 37,12.389553387959799,0.9805196928752246,9.68545581122171,0.8986770000000001,0.9700586666666666,29.607961333333336,66.338646
5,hevc_qsv,CQP,veryslow,4,Anime,51374.1298828125,3424.8199869791665,-q:v 22,12.531367937723795,0.8001081035517013,9.575965674896905,0.9870266666666666,0.996629,81.13015133333333,95.31821133333335
6,hevc_qsv,CQP,veryslow,4,Nature,64356.547526041664,4290.9365234375,-q:v 23,12.398438135782877,0.7433093453525292,9.677810814142083,0.9807056666666667,0.9943776666666667,77.030756,90.20412233333333
7,hevc_qsv,CQP,veryslow,4,Anime,14860.868815104166,990.7115885416666,-q:v 29,12.47902536392212,0.9417976734677681,9.616134744778272,0.9637823333333332,0.990409,65.81957499999999,87.059906
8,hevc_qsv,CQP,veryslow,4,Nature,105332.46712239583,7022.9833984375,-q:v 20,12.394215822219849,0.5792470802942649,9.681188038899727,0.9903476666666666,0.9966766666666667,84.18539533333335,93.74067833333334
9,hevc_qsv,CQP,veryslow,4,Anime,23863.551106770832,1590.875,-q:v 26,12.486666440963745,0.9066210326452859,9.61014777440442,0.9759639999999999,0.9939443333333333,74.41515799999999,91.58096266666666
10,hevc_qsv,CQP,veryslow,4,Nature,151652.11881510416,10111.3203125,-q:v 18,12.38036839167277,0.39194036599974297,9.692005723382124,0.9943443333333333,0.9978440000000001,88.22800066666667,95.67404666666665
11,hevc_qsv,CQP,veryslow,4,Nature,15451.04296875,1030.1891276041667,-q:v 32,12.347598950068155,0.938035223214575,9.717490057717912,0.9270543333333333,0.978436,45.626764666666666,72.282378
12,hevc_qsv,CQP,veryslow,4,Nature,13377.323893229166,891.9251302083334,-q:v 33,12.347201585769653,0.9462770914660218,9.717789859153195,0.9192353333333333,0.9759376666666667,42.406226,69.94022233333332
13,hevc_qsv,CQP,veryslow,4,Anime,60681.5361328125,4045.283203125,-q:v 21,12.520228068033854,0.7640630089425744,9.58444312404688,0.9885576666666666,0.9970203333333333,82.23038733333334,95.85678733333334
14,hevc_qsv,CQP,veryslow,4,Anime,32881.529296875,2192.0498046875,-q:v 24,12.500134150187174,0.8715654250161444,9.599868418804784,0.9810016666666667,0.995329,78.13197166666667,93.442876
