index,codec,type,preset,threads,gop,has_b_frames,refs,fI,fP,fB,fT,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
0,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,111874.99772135417,7458.728190104167,-crf 24,86.98059248924255,0.5595378293595326,1.431728147042799,0.9934826666666668,0.9978428333333333,86.81268449999999,96.31704783333332
1,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,96677.17952473958,6445.48876953125,-crf 26,86.36603264013927,0.6196376136933304,1.4417531891326085,0.9927215,0.9975568333333332,85.85692033333333,95.92274300000001
2,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,21731.6171875,1448.8826497395833,-crf 44,91.75036068757375,0.9140164197031481,1.3565777278815594,0.9744038333333332,0.9928313333333333,72.96509666666667,89.1681105
3,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,29876.80322265625,1991.9278971354167,-crf 40,87.60296972592671,0.8820377557978011,1.4146049911956637,0.9795041666666666,0.9943196666666667,76.579052,91.18808416666667
4,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,76862.62288411458,5124.456217447917,-crf 29,85.43579109509785,0.6977520769528566,1.4559392225199825,0.990716,0.997074,84.70327216666666,95.22033133333332
5,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,70845.76595052083,4723.3134765625,-crf 30,84.58888204892476,0.7214920317829451,1.4723185921624242,0.9899766666666667,0.9968983333333332,83.91984433333333,94.95835483333333
6,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,137903.6778971354,9194.069498697916,-crf 20,87.10598758856456,0.4561611822244296,1.432385710663447,0.9943611666666667,0.9982086666666667,88.21157483333333,96.81898716666666
7,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,27412.854329427082,1827.6554361979167,-crf 41,86.88985455036163,0.8916960562260158,1.4263668437673018,0.9782663333333333,0.993951,75.60136266666667,90.68737933333334
8,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,16424.31494140625,1095.0369466145833,-crf 48,87.94242322444916,0.9348823423139483,1.4085592217576843,0.9677685,0.9910745,68.25652583333334,86.81573466666667
9,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,54148.294759114586,3610.0994466145835,-crf 33,84.28169504801433,0.7870862274888358,1.4735124053369926,0.9872408333333332,0.9962166666666668,81.85152583333333,93.94092450000001
10,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,38510.327962239586,2567.52392578125,-crf 37,81.79702019691467,0.8482805694948872,1.5147224013622989,0.982926,0.9951813333333334,79.24012216666668,92.4438765
11,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,23490.145182291668,1566.1258138020833,-crf 43,86.8190336227417,0.9070959612811605,1.4267941443823622,0.9755583333333334,0.9932066666666666,73.831182,89.67588316666667
12,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,124606.453125,8307.5380859375,-crf 22,86.17686398824056,0.5089954048487119,1.4473946849037826,0.9939068333333333,0.9980365,87.505088,96.5858425
13,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,89570.13883463542,5971.663736979167,-crf 27,86.05156524976094,0.6477203758903207,1.4466293736139295,0.9921186666666667,0.9974031666666668,85.23478316666667,95.702255
14,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,32477.375651041668,2165.3082682291665,-crf 39,79.98829543590546,0.8718474753799285,1.547521221455997,0.980703,0.9945871666666667,77.27272733333334,91.5727365
15,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,118779.09488932292,7919.026041666667,-crf 23,85.92057228088379,0.5321361870618265,1.4482034024252488,0.9936926666666666,0.99795,87.27360516666668,96.46528533333334
16,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,25426.124186197918,1695.1988932291667,-crf 42,85.67511634031932,0.8994972285613038,1.4459231637567278,0.9771023333333334,0.9935938333333333,74.55947833333333,90.2002635
17,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,20110.57275390625,1340.8055013020833,-crf 45,91.06191182136536,0.9203857431516457,1.3633805829512091,0.9732613333333334,0.992411,71.99777183333333,88.61252183333333
18,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,64850.45458984375,4323.60791015625,-crf 31,83.39937341213226,0.7450568040037236,1.4902466910296015,0.9890776666666667,0.9966813333333334,83.32594366666666,94.63906283333334
19,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,59098.67578125,3940.1396484375,-crf 32,82.55031549930573,0.7676557583173973,1.5047338251228826,0.9881695,0.9964415,82.39355816666666,94.26976466666667
20,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,18731.012858072918,1248.8284505208333,-crf 46,89.759419242541,0.9258190648499851,1.3819456256760911,0.9716901666666665,0.9919614999999999,70.67825283333333,88.01875783333332
21,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,17612.559407552082,1174.2591145833333,-crf 47,89.00135783354442,0.9301906563317073,1.3917948048011297,0.9699836666666667,0.9915821666666668,69.5739895,87.48659266666665
22,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,131019.11946614583,8735.073079427084,-crf 21,86.14500145117442,0.483558605280434,1.4465773605648538,0.9941171666666665,0.9981193333333334,87.97292566666665,96.69782116666666
23,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,82867.68473307292,5524.812174479167,-crf 28,85.7873676220576,0.6741237007261053,1.4496686415038187,0.991516,0.9972354999999999,85.00532316666667,95.45891333333333
24,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,50013.034505208336,3334.4041341145835,-crf 34,83.35765703519185,0.803289895818205,1.4884048078757235,0.9864386666666668,0.9959915,81.11719366666667,93.61189033333333
25,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,15324.850260416666,1021.7335611979166,-crf 49,91.37652051448822,0.9392218782304097,1.3581255882572183,0.9658508333333334,0.9905938333333334,66.05286716666666,86.20733716666666
26,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,41790.997233072914,2786.24462890625,-crf 36,81.98428404331207,0.835445764137768,1.5108916473123024,0.9842861666666667,0.9954486666666668,79.5803935,92.82829866666667
27,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,35247.8603515625,2350.01611328125,-crf 38,81.20888264973958,0.8610000325270984,1.5231400895653948,0.9818408333333334,0.9949028333333333,78.34055716666666,92.01608866666668
28,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,14339.051106770834,956.0086263020834,-crf 50,91.22499362627666,0.9431144262756094,1.3586605101801335,0.9636936666666668,0.9900489999999998,64.63731966666666,85.530648
29,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,103859.96256510417,6924.36474609375,-crf 25,86.9924265940984,0.5912461005323709,1.4300378165511765,0.9931351666666667,0.9977013333333332,86.29731916666667,96.12358383333333
30,libsvtav1,CRF,6,4,161,0,1,23,3574,0,3597,45813.64306640625,3054.4329427083335,-crf 35,82.85760617256165,0.8197179223981349,1.4962251856136362,0.9854676666666666,0.9957365,80.3390165,93.24326816666667
