time,size,pict_type
0,1121,I
0.016667,68,B
0.033333,68,B
0.05,70,P
0.066667,7911,I
0.083333,4107,P
0.1,154,B
0.116667,109,B
0.133333,787,B
0.15,91,B
0.166667,154,B
0.183333,13094,P
0.2,4857,P
0.216667,789,B
0.233333,605,B
0.25,661,B
0.266667,988,B
0.283333,407,B
0.3,364,B
0.316667,378,B
0.333333,361,B
0.35,5570,P
0.366667,394,B
0.383333,234,B
0.4,1482,P
0.416667,435,B
0.433333,388,B
0.45,388,B
0.466667,811,B
0.483333,310,B
0.5,320,B
0.516667,309,B
0.533333,290,B
0.55,2959,P
0.566667,352,B
0.583333,346,B
0.6,610,B
0.616667,372,B
0.633333,305,B
0.65,366,B
0.666667,998,P
0.683333,210,B
0.7,379,B
0.716667,221,B
0.733333,764,P
0.75,267,B
0.766667,446,B
0.783333,299,B
0.8,262,B
0.816667,778,P
0.833333,288,B
0.85,261,B
0.866667,209,B
0.883333,429,B
0.9,207,B
0.916667,245,B
0.933333,293,B
0.95,298,B
0.966667,553,P
0.983333,332,B
1.0,244,B
1.016667,522,B
1.033333,293,B
1.05,318,B
1.066667,443,P
1.083333,303,B
1.1,242,B
1.116667,198,B
1.133333,501,B
1.15,248,B
1.166667,304,B
1.183333,387,B
1.2,583,P
1.216667,305,B
1.233333,421,B
1.25,281,B
1.266667,725,P
1.283333,326,B
1.3,254,B
1.316667,625,B
1.333333,262,B
1.35,342,B
1.366667,322,B
1.383333,972,P
1.4,256,B
1.416667,419,B
1.433333,277,B
1.45,782,P
1.466667,244,B
1.483333,350,B
1.5,229,B
1.516667,781,P
1.533333,239,B
1.55,175,B
1.566667,316,B
1.583333,158,B
1.6,181,B
1.616667,204,B
1.633333,629,P
1.65,148,B
1.666667,118,B
1.683333,79,B
1.7,268,B
1.716667,80,B
1.733333,86,B
1.75,160,B
1.766667,159,B
1.783333,317,P
1.8,173,B
1.816667,142,B
1.833333,111,B
1.85,227,B
1.866667,122,B
1.883333,136,B
1.9,171,B
1.916667,175,B
1.933333,265,P
1.95,186,B
1.966667,317,B
1.983333,193,B
2.0,632,P
2.016667,200,B
2.033333,329,B
2.05,170,B
2.066667,226,B
2.083333,654,P
2.1,184,B
2.116667,347,B
2.133333,195,B
2.15,248,B
2.166667,800,P
2.183333,240,B
2.2,192,B
2.216667,411,B
2.233333,189,B
2.25,239,B
2.266667,255,B
2.283333,886,P
2.3,227,B
2.316667,156,B
2.333333,341,B
2.35,147,B
2.366667,186,B
2.383333,195,B
2.4,649,P
2.416667,139,B
2.433333,263,B
2.45,119,B
2.466667,184,B
2.483333,653,P
2.5,180,B
2.516667,157,B
2.533333,120,B
2.55,276,B
2.566667,119,B
2.583333,133,B
2.6,183,B
2.616667,180,B
2.633333,675,P
2.65,172,B
2.666667,132,B
2.683333,95,B
2.7,220,B
2.716667,96,B
2.733333,133,B
2.75,161,B
2.766667,467,P
2.783333,144,B
2.8,111,B
2.816667,69,B
2.833333,205,B
2.85,69,B
2.866667,69,B
2.883333,144,B
2.9,142,B
2.916667,229,P
2.933333,141,B
2.95,107,B
2.966667,69,B
2.983333,166,B
3.0,71,B
3.016667,69,B
3.033333,138,B
3.05,139,B
3.066667,173,P
3.083333,139,B
3.1,104,B
3.116667,71,B
3.133333,160,B
3.15,69,B
3.166667,70,B
3.183333,136,B
3.2,138,B
3.216667,127,P
3.233333,172,B
3.25,121,B
3.266667,255,B
3.283333,135,B
3.3,183,B
3.316667,332,P
3.333333,150,B
3.35,287,B
3.366667,140,B
3.383333,185,B
3.4,454,P
3.416667,214,B
3.433333,195,B
3.45,175,B
3.466667,375,B
3.483333,160,B
3.5,219,B
3.516667,217,B
3.533333,610,P
3.55,522,B
3.566667,264,B
3.583333,3971,B
3.6,1043,B
3.616667,754,B
3.633333,1399,P
3.65,2352,B
3.666667,2056,B
3.683333,2843,B
3.7,417,B
3.716667,1297,P
3.733333,609,B
3.75,2116,B
3.766667,1182,B
3.783333,1159,B
3.8,3758,B
3.816667,1055,P
3.833333,1018,B
3.85,645,B
3.866667,3331,B
3.883333,2229,B
3.9,2325,B
3.916667,1093,P
3.933333,1390,B
3.95,2531,B
3.966667,3858,B
3.983333,3590,B
4.0,2604,B
4.016667,1043,P
4.033333,2895,B
4.05,580,B
4.066667,4090,B
4.083333,729,B
4.1,692,B
