time,size,pict_type
0,456,I
0.016667,79,B
0.033333,82,B
0.05,82,B
0.066667,3254,P
0.083333,5290,P
0.1,6953,P
0.116667,7979,P
0.133333,8688,P
0.15,8939,P
0.166667,9895,P
0.183333,10243,P
0.2,10255,P
0.216667,308,B
0.233333,200,P
0.25,309,B
0.266667,908,P
0.283333,335,B
0.3,467,P
0.316667,257,B
0.333333,530,P
0.35,189,B
0.366667,661,P
0.383333,232,B
0.4,517,P
0.416667,341,B
0.433333,1086,P
0.45,322,B
0.466667,691,P
0.483333,325,B
0.5,762,P
0.516667,193,B
0.533333,525,P
0.55,279,B
0.566667,483,P
0.583333,414,B
0.6,2165,P
0.616667,651,B
0.633333,2084,P
0.65,845,B
0.666667,2229,P
0.683333,776,B
0.7,2494,P
0.716667,813,B
0.733333,2425,P
0.75,943,B
0.766667,3206,P
0.783333,973,B
0.8,2582,P
0.816667,1033,B
0.833333,2798,P
0.85,1016,B
0.866667,2852,P
0.883333,905,B
0.9,3976,P
0.916667,1019,B
0.933333,2869,P
0.95,1444,B
0.966667,3714,P
0.983333,1305,B
1.0,5485,P
1.016667,1079,B
1.033333,4362,P
1.05,1232,B
1.066667,4547,P
1.083333,1102,B
1.1,4023,P
1.116667,518,B
1.133333,2578,P
1.15,807,B
1.166667,8338,P
1.183333,1226,B
1.2,3153,P
1.216667,757,B
1.233333,2574,P
1.25,740,B
1.266667,2686,P
1.283333,957,B
1.3,3862,P
1.316667,800,B
1.333333,2663,P
1.35,1094,B
1.366667,2740,P
1.383333,1240,B
1.4,4420,P
1.416667,1322,B
1.433333,3942,P
1.45,1347,B
1.466667,2886,P
1.483333,1056,B
1.5,3005,P
1.516667,953,B
1.533333,2643,P
1.55,443,B
1.566667,3664,P
1.583333,406,B
1.6,2253,P
1.616667,233,B
1.633333,3104,P
1.65,135,B
1.666667,1593,P
1.683333,291,B
1.7,15104,P
1.716667,132,B
1.733333,753,P
1.75,159,B
1.766667,1253,P
1.783333,152,B
1.8,894,P
1.816667,300,B
1.833333,4430,P
1.85,200,B
1.866667,2534,P
1.883333,229,B
1.9,2018,P
1.916667,459,B
1.933333,8143,P
1.95,893,B
1.966667,4533,P
1.983333,965,B
2.0,4802,P
2.016667,567,B
2.033333,3846,P
2.05,1283,B
2.066667,5637,P
2.083333,1284,B
2.1,4084,P
2.116667,1337,B
2.133333,3935,P
2.15,821,B
2.166667,4233,P
2.183333,917,B
2.2,3831,P
2.216667,1664,B
2.233333,4406,P
2.25,1823,B
2.266667,4456,P
2.283333,1412,B
2.3,3964,P
2.316667,535,B
2.333333,3856,P
2.35,293,B
2.366667,3312,P
2.383333,293,B
2.4,3063,P
2.416667,285,B
2.433333,4119,P
2.45,391,B
2.466667,4104,P
2.483333,703,B
2.5,4213,P
2.516667,277,B
2.533333,3733,P
2.55,287,B
2.566667,3445,P
2.583333,465,B
2.6,3271,P
2.616667,265,B
2.633333,7026,P
2.65,289,B
2.666667,3621,P
2.683333,318,B
2.7,3263,P
2.716667,446,B
2.733333,4238,P
2.75,255,B
2.766667,4512,P
2.783333,355,B
2.8,3509,P
2.816667,255,B
2.833333,2909,P
2.85,275,B
2.866667,3308,P
2.883333,231,B
2.9,2837,P
2.916667,214,B
2.933333,2816,P
2.95,179,B
2.966667,2697,P
2.983333,224,B
3.0,3273,P
3.016667,208,B
3.033333,2894,P
3.05,212,B
3.066667,2664,P
3.083333,181,B
3.1,2526,P
3.116667,204,B
3.133333,2595,P
3.15,178,B
3.166667,2508,P
3.183333,165,B
3.2,2454,P
3.216667,301,B
3.233333,3698,P
3.25,640,B
3.266667,4379,P
3.283333,718,B
3.3,5504,P
3.316667,1878,B
3.333333,5712,P
3.35,1527,B
3.366667,5549,P
3.383333,774,B
3.4,5474,P
3.416667,785,B
3.433333,5747,P
3.45,1769,B
3.466667,5641,P
3.483333,768,B
3.5,5956,P
3.516667,498,B
3.533333,5156,P
3.55,4467,B
3.566667,27732,P
3.583333,1420,B
3.6,22728,P
3.616667,575,B
3.633333,12736,P
3.65,489,B
3.666667,7018,P
3.683333,5826,B
3.7,8952,P
3.716667,844,B
3.733333,6724,P
3.75,6399,B
3.766667,9986,P
3.783333,1012,B
3.8,9694,P
3.816667,968,B
3.833333,9101,P
3.85,1077,B
3.866667,9096,P
3.883333,994,B
3.9,9458,P
3.916667,708,B
3.933333,8906,P
3.95,870,B
3.966667,8871,P
3.983333,1029,B
4.0,9837,P
4.016667,663,B
4.033333,7765,P
4.05,557,B
4.066667,8131,P
4.083333,795,B
4.1,7289,P
4.116667,913,B
4.133333,5737,P
4.15,2468,P
4.166667,4184,I
4.183333,1241,P
4.2,594,P
4.216667,80,B
4.233333,80,B
4.25,78,B
4.266667,83,P
4.283333,97,B
4.3,98,B
4.316667,80,B
4.333333,137,P
4.35,81,B
4.366667,124,B
4.383333,120,B
4.4,2897,P
4.416667,5230,P
4.433333,7599,P
4.45,2454,B
4.466667,14874,P
4.483333,3418,B
4.5,19584,P
4.516667,3250,B
4.533333,17449,P
4.55,2580,B
4.566667,20244,P
4.583333,3144,B
4.6,21987,P
4.616667,2301,B
4.633333,21303,P
4.65,705,B
4.666667,1489,B
4.683333,714,B
4.7,34047,P
4.716667,517,B
4.733333,1342,B
4.75,628,B
4.766667,22424,P
4.783333,239,B
4.8,516,B
4.816667,85,B
4.833333,7621,P
4.85,84,B
4.866667,120,B
4.883333,82,B
4.9,390,P
4.916667,85,B
4.933333,127,B
4.95,82,B
4.966667,327,P
4.983333,159,B
5.0,359,B
5.016667,101,B
5.033333,11910,P
5.05,255,B
5.066667,768,B
5.083333,476,B
5.1,6546,P
5.116667,576,B
5.133333,1410,B
5.15,691,B
5.166667,9381,P
5.183333,140,B
5.2,412,B
5.216667,777,B
5.233333,7400,P
5.25,165,B
5.266667,613,B
5.283333,716,B
5.3,6314,P
5.316667,187,B
5.333333,1812,B
5.35,141,B
5.366667,9860,P
5.383333,102,B
5.4,1498,B
5.416667,101,B
5.433333,6007,P
5.45,154,B
5.466667,2801,B
5.483333,523,B
5.5,7474,P
5.516667,657,B
5.533333,658,B
5.55,437,B
5.566667,9379,P
5.583333,803,B
5.6,900,B
5.616667,956,B
5.633333,8080,P
5.65,441,B
5.666667,921,B
5.683333,389,B
5.7,10978,P
5.716667,809,B
5.733333,824,B
5.75,851,B
5.766667,12889,P
5.783333,355,B
5.8,1391,B
5.816667,657,B
5.833333,10193,P
5.85,1087,B
5.866667,666,B
5.883333,502,B
5.9,15672,P
5.916667,689,B
5.933333,1060,B
5.95,981,B
5.966667,11410,P
5.983333,665,B
6.0,2422,B
6.016667,428,B
6.033333,17829,P
6.05,272,B
6.066667,2161,B
6.083333,318,B
6.1,17076,P
6.116667,349,B
6.133333,2477,B
6.15,295,B
6.166667,17246,P
6.183333,432,B
6.2,1188,B
6.216667,475,B
6.233333,14991,P
6.25,431,B
6.266667,1220,B
6.283333,652,B
6.3,16996,P
6.316667,473,B
6.333333,1573,B
6.35,409,B
6.366667,18195,P
6.383333,489,B
6.4,2567,B
6.416667,244,B
6.433333,17044,P
6.45,270,B
6.466667,3346,B
6.483333,288,B
6.5,19516,P
6.516667,300,B
6.533333,3087,B
6.55,323,B
6.566667,18955,P
6.583333,340,B
6.6,3071,B
6.616667,333,B
6.633333,20751,P
6.65,323,B
6.666667,3208,B
6.683333,367,B
6.7,19690,P
6.716667,540,B
6.733333,1048,B
6.75,463,B
6.766667,24004,P
6.783333,374,B
6.8,1091,B
6.816667,547,B
6.833333,20888,P
6.85,443,B
6.866667,1843,B
6.883333,367,B
6.9,22249,P
6.916667,436,B
6.933333,1105,B
6.95,398,B
6.966667,25119,P
6.983333,440,B
7.0,1319,B
7.016667,646,B
7.033333,23424,P
7.05,423,B
7.066667,2620,B
7.083333,433,B
7.1,23766,P
7.116667,525,B
7.133333,1479,B
7.15,568,B
7.166667,22187,P
7.183333,578,B
7.2,1830,B
7.216667,695,B
7.233333,25339,P
7.25,668,B
7.266667,1896,B
7.283333,832,B
7.3,25456,P
7.316667,729,B
7.333333,1592,B
7.35,671,B
7.366667,28033,P
7.383333,873,B
7.4,1956,B
7.416667,767,B
7.433333,30710,P
7.45,725,B
7.466667,1981,B
7.483333,849,B
7.5,30949,P
7.516667,686,B
7.533333,1455,B
7.55,633,B
7.566667,27295,P
7.583333,476,B
7.6,1252,B
7.616667,390,B
7.633333,29646,P
7.65,454,B
7.666667,1459,B
7.683333,603,B
7.7,27477,P
7.716667,429,B
7.733333,2716,B
7.75,528,B
7.766667,34902,P
7.783333,770,B
7.8,3670,B
7.816667,639,B
7.833333,30017,P
7.85,505,B
7.866667,3119,B
7.883333,496,B
7.9,30542,P
7.916667,458,B
7.933333,1339,B
7.95,558,B
7.966667,31370,P
7.983333,607,B
8.0,1144,B
8.016667,610,B
8.033333,27643,P
8.05,661,B
8.066667,1535,B
8.083333,799,B
8.1,25897,P
8.116667,682,B
8.133333,1105,B
8.15,566,B
8.166667,30068,P
8.183333,536,B
8.2,1411,B
8.216667,557,B
8.233333,31102,P
8.25,647,B
8.266667,1769,B
8.283333,829,B
8.3,29373,P
8.316667,19116,P
8.333333,82469,I
8.35,482,B
8.366667,821,B
8.383333,518,B
8.4,14640,P
8.416667,505,B
8.433333,950,B
8.45,494,B
8.466667,19635,P
8.483333,511,B
8.5,1254,B
8.516667,667,B
8.533333,19168,P
8.55,591,B
8.566667,1080,B
8.583333,545,B
8.6,17970,P
8.616667,567,B
8.633333,892,B
8.65,533,B
8.666667,19850,P
8.683333,577,B
8.7,914,B
8.716667,567,B
8.733333,20291,P
8.75,653,B
8.766667,1144,B
8.783333,696,B
8.8,18660,P
8.816667,688,B
8.833333,1006,B
8.85,633,B
8.866667,19341,P
8.883333,621,B
8.9,975,B
8.916667,652,B
8.933333,20676,P
8.95,666,B
8.966667,911,B
8.983333,515,B
9.0,27624,P
9.016667,782,B
9.033333,1247,B
9.05,693,B
